COMPANY,matched_filings,avg_offered_wage,avg_bls_median,avg_wage_gap,avg_wage_gap_pct
TECHPRO SOLUTIONS INC,15,92793.0,121405.0,-28611.0,-23.0
GLOBAL TOUCHPOINTS INC,8,97313.0,121654.0,-24341.0,-19.3
LHP ENGINEERING SOLUTIONS LLC,5,109171.0,133080.0,-23909.0,-18.0
Tata Consultancy,1549,91355.0,106809.0,-15454.0,-14.3
Wipro,596,94103.0,104684.0,-10581.0,-10.0
Intel,420,126189.0,126277.0,-88.0,0.2
Infosys,994,108147.0,108096.0,51.0,0.3
Cognizant,2633,110716.0,108743.0,1973.0,1.8
Deloitte,515,129638.0,122425.0,7212.0,7.1
Capgemini,751,129425.0,118734.0,10690.0,9.9
Oracle,181,142004.0,126737.0,15267.0,12.5
HP INC,31,133049.0,117552.0,15497.0,13.7
Qualcomm,151,147821.0,132067.0,15754.0,11.9
Walmart,1071,142685.0,126791.0,15893.0,13.6
DELL MARKETING LP,6,137334.0,118682.0,18652.0,18.1
Accenture,759,127922.0,106271.0,21651.0,20.4
IBM,650,134064.0,109769.0,24295.0,21.0
JPMorgan,576,152283.0,127293.0,24990.0,20.6
Cisco,285,142153.0,116612.0,25542.0,22.8
Goldman Sachs,168,150445.0,124560.0,25885.0,21.0
Microsoft,2522,167449.0,127718.0,39731.0,31.9
DELL PRODUCTS LP,26,168919.0,124412.0,44507.0,36.3
Amazon,4188,166530.0,121257.0,45273.0,38.5
DELL USA LP,46,160401.0,112530.0,47871.0,43.5
Apple,648,177178.0,127143.0,50035.0,40.1
Google,1191,189966.0,129224.0,60742.0,47.4
Meta,1398,208281.0,125635.0,82646.0,66.9
